productTitle,originalPrice,price,sold,discount_pct,tagText_Express Shipping,tagText_Free Shipping,tagText_Standard Shipping
Convertible Futon Sofa,85.85644298301406,47.2717551,267,44.9409345908352,1,0,0
Velvet Upholstered Sofa,311.4245672819912,171.4674562,282,44.9409345908352,0,1,0
Luxury Wooden Dining Table,73.89558015,39.86628459,324,46.050515458332185,0,0,1
Luxury Wooden Dining Table,205.49397407891138,113.1430616,612,44.94093459083519,0,0,1
Ergonomic Office Chair,46.01507937,21.59002792,824,53.0805374768606,0,0,0
Convertible Futon Sofa,1219.691793,124.6705403,728,89.77852101526766,0,0,1
Convertible Futon Sofa,363.88525760673485,200.351822,265,44.94093459083519,0,0,1
Swivel Bar Stools,1389.472543,742.1433182,611,46.58812641251308,1,0,0
Minimalist TV Stand,80.66358694967484,44.4126171,939,44.94093459083519,0,0,1
Minimalist TV Stand,428.0895094175834,235.702083,790,44.940934590835184,0,1,0
Floating Wall Shelves,448.03521448611156,246.6840018,163,44.94093459083519,1,0,0
Mesh Gaming Chair,437.0439748872776,240.632328,390,44.94093459083519,0,0,1
Rustic Bed Frame,909.7590174798396,500.9048125,766,44.94093459083519,1,0,0
Recliner Leather Chair,215.89803553079082,118.8714406,10,44.94093459083519,1,0,0
Swivel Bar Stools,1796.1777068874542,988.9586585,14,44.94093459083519,0,1,0
Foldable Study Table,809.0946776692799,445.4799678,933,44.94093459083519,0,0,1
Swivel Bar Stools,336.342936487939,185.1872774,112,44.94093459083519,0,0,0
Adjustable Standing Desk,110.60966835783383,60.90064965,756,44.94093459083519,0,1,0
Bamboo Shoe Rack,690.8516943999648,380.3764863,815,44.94093459083519,1,0,0
Floating Wall Shelves,376.03250393265364,207.0399823,526,44.94093459083519,1,0,0
Velvet Upholstered Sofa,632.8911378,334.6504843,763,47.12353131325518,0,0,0
Modern Glass Coffee Table,507.6337882289523,279.4984195,505,44.94093459083519,0,0,1
Luxury Wooden Dining Table,53.32923374,26.2980078,907,50.68744484833094,0,1,0
Swivel Bar Stools,589.1047450398779,324.3555669,668,44.940934590835184,0,1,0
Bamboo Shoe Rack,403.00599647131907,221.8913352,267,44.94093459083519,0,0,0
Adjustable Standing Desk,1054.8286987510817,580.7788232,795,44.9409345908352,0,0,0
Adjustable Standing Desk,912.7683050289236,502.5616981,179,44.94093459083519,0,0,0
Marble Top Dining Table,701.0539133411257,385.9937327,568,44.94093459083519,0,1,0
Rustic Bed Frame,93.11408626,49.89852499,402,46.411410996753304,0,0,1
Rustic Bed Frame,414.52936587988137,228.2359947,911,44.94093459083519,0,1,0
Luxury Wooden Dining Table,136.09686632553516,74.93366265,833,44.94093459083519,0,1,0
Minimalist TV Stand,330.2693134157912,181.8431973,523,44.940934590835184,0,0,1
Compact Wardrobe,81.63388006,49.05997922,999,39.902428766167354,0,0,1
Classic Wooden Bookshelf,14.8073924,9.809975251,811,33.74947468130851,1,0,0
Floating Wall Shelves,316.2687862678733,174.1346379,816,44.94093459083519,0,1,0
Foldable Study Table,167.0888586762801,91.99756399,165,44.94093459083519,0,1,0
Convertible Futon Sofa,159.27205065744363,87.69370255,331,44.94093459083519,1,0,0
Rustic Bed Frame,77.54323188,40.54318299,178,47.7153814626381,0,0,1
Modern Glass Coffee Table,817.2784718665022,449.9858884,205,44.94093459083519,1,0,0
Luxury Wooden Dining Table,496.51410347858075,273.376025,101,44.94093459083519,0,0,0
Mesh Gaming Chair,289.62558157308706,159.4651384,102,44.940934590835184,0,0,1
Adjustable Standing Desk,226.742480411263,124.8422906,513,44.94093459083519,0,0,0
Velvet Upholstered Sofa,237.1067875,87.97658546,396,62.89579628335187,0,1,0
Recliner Leather Chair,326.177416135557,179.5902369,199,44.94093459083519,0,0,1
Rustic Bed Frame,705.2559063876965,388.3073108,615,44.94093459083519,1,0,0
Floating Wall Shelves,296.5799716840435,163.2941606,116,44.94093459083519,1,0,0
Kids Bunk Bed,529.4511233230573,291.5108403,946,44.94093459083519,0,0,1
Classic Wooden Bookshelf,742.7435561445782,408.9476604,172,44.9409345908352,0,0,1
Bamboo Shoe Rack,694.1189042,440.3476635,605,36.56019727520338,1,0,0
Foldable Study Table,627.4903511,397.4909025,274,36.65386219832823,0,0,0
Luxury Wooden Dining Table,794.4886231708297,437.4380107,508,44.94093459083519,0,1,0
Kids Bunk Bed,264.3218767309032,145.533155,211,44.940934590835184,0,1,0
Luxury Wooden Dining Table,616.5002716219351,339.4392878,147,44.940934590835184,1,0,0
Velvet Upholstered Sofa,176.4286598003726,97.1399712,268,44.94093459083519,1,0,0
Compact Wardrobe,384.4172495,282.3676604,844,26.54656866535851,0,0,1
Ergonomic Office Chair,575.2143138399199,316.7076253,653,44.9409345908352,0,1,0
Convertible Futon Sofa,565.8745127339896,311.5652181,681,44.94093459083519,0,0,0
Outdoor Patio Set,249.62407566969424,137.4406831,833,44.94093459083519,0,0,0
Swivel Bar Stools,293.6073827237384,161.6574809,637,44.940934590835184,1,0,0
Adjustable Standing Desk,159.21700271978838,87.66339367,202,44.940934590835184,1,0,0
Swivel Bar Stools,295.6671497,177.751498,243,39.8812150148042,0,0,1
Luxury Wooden Dining Table,1014.0198229864378,558.3098376,211,44.94093459083519,1,0,0
Minimalist TV Stand,224.41211739026912,123.5592145,869,44.940934590835184,0,0,0
Compact Wardrobe,489.00923380944863,269.2439139,613,44.94093459083519,1,0,0
Classic Wooden Bookshelf,557.0117938270542,306.6854879,916,44.9409345908352,0,0,0
Swivel Bar Stools,1054.8286987510817,580.7788232,272,44.9409345908352,1,0,0
Convertible Futon Sofa,68.26858253,32.03648972,481,53.07286524380105,0,1,0
Convertible Futon Sofa,66.77315580420361,36.76467553,53,44.940934590835184,1,0,0
L-Shaped Computer Desk,193.21828260145494,106.3841806,270,44.940934590835184,0,0,0
Luxury Wooden Dining Table,187.12631014410613,103.0299975,478,44.94093459083519,0,0,0
Floating Wall Shelves,215.89803553079082,118.8714406,339,44.94093459083519,0,1,0
Mesh Gaming Chair,356.288641374844,196.1691961,700,44.94093459083519,1,0,0
Marble Top Dining Table,88.86573056842266,48.92864072,336,44.9409345908352,1,0,0
Mesh Gaming Chair,293.0936019359648,161.374598,593,44.94093459083519,0,1,0
Classic Wooden Bookshelf,926.9182581,590.0634444,668,36.34137214973908,0,0,1
Modern Glass Coffee Table,401.55640048913386,221.0932012,488,44.94093459083519,0,0,0
Bamboo Shoe Rack,690.8516943999648,380.3764863,461,44.94093459083519,0,0,0
Swivel Bar Stools,403.00599647131907,221.8913352,903,44.94093459083519,0,1,0
Rustic Bed Frame,912.7683050289236,502.5616981,816,44.94093459083519,1,0,0
Kids Bunk Bed,194.85137170915772,107.2833442,798,44.94093459083519,1,0,0
Marble Top Dining Table,38.93724555744362,21.4384835,174,44.94093459083519,0,0,1
Outdoor Patio Set,237.9539117243933,131.0151999,296,44.94093459083519,0,0,0
Modern Glass Coffee Table,264.19343157936567,145.4624343,189,44.94093459083519,0,0,1
